,actor_loss,critic_loss
94,-0.03669701125472784,1.0731882014169969e-05
95,-0.036589492298662665,8.705114862550544e-06
96,-0.03702873829752207,1.2598801629337685e-05
97,-0.03646447602659464,1.0622453760333884e-05
98,-0.03696498442441225,1.1217922417472436e-05
99,-0.03761073090136051,1.6898402873266604e-05
100,-0.03795601762831211,1.1808891281361867e-05
101,-0.037300989776849744,1.3831830392518895e-05
102,-0.03763524703681469,1.4097458097239723e-05
103,-0.03784936722368002,1.222391314286142e-05
104,-0.03719261903315783,1.0152927927720157e-05
105,-0.03773738462477923,1.2097289459234162e-05
106,-0.03804389536380768,1.783539003099577e-05
107,-0.03832835741341114,1.4217517036740902e-05
108,-0.037786577641963956,1.6512338925167568e-05
109,-0.03845082558691502,1.49934073078839e-05
110,-0.037248223274946216,1.1951438943924586e-05
111,-0.038646400533616544,1.189640088341548e-05
112,-0.038077430613338945,1.418957501755358e-05
113,-0.03849129676818848,1.4444155272030913e-05
114,-0.03847253266721964,1.6439669047940696e-05
115,-0.03845532517880201,1.1582555566747033e-05
116,-0.03851520773023367,1.0622275385685499e-05
117,-0.039198325201869014,1.668635416081088e-05
118,-0.03995602764189243,1.6023955618038598e-05
119,-0.039899998158216474,1.3412598127615638e-05
120,-0.04034027047455311,2.2806830793342668e-05
121,-0.03931908328086138,1.7625271908627838e-05
122,-0.03996928445994854,1.9164444302077756e-05
123,-0.04104992169886827,2.0758346227012226e-05
124,-0.039682547375559804,1.7363042320539535e-05
125,-0.04106612354516983,1.760507961989788e-05
126,-0.04195603858679533,1.7482698672210974e-05
127,-0.041303453594446184,1.539117313313909e-05
128,-0.04131176769733429,1.978447243118353e-05
129,-0.041955293901264665,2.2330730371322715e-05
130,-0.04226898793131113,1.9225267737965624e-05
131,-0.04257357474416494,1.9451107846180093e-05
132,-0.04132062587887049,2.325466005004273e-05
133,-0.042717804200947285,2.2660580680167185e-05
134,-0.04305171705782414,2.4224173466791397e-05
135,-0.0431889321655035,2.0055172740285343e-05
136,-0.04355196226388216,2.3238557605509414e-05
137,-0.04389498699456453,2.3825788844078488e-05
138,-0.04441450871527195,2.5340087313452385e-05
139,-0.044099905714392665,2.5110789579230186e-05
140,-0.04464402254670859,2.6777337961902958e-05
141,-0.04542629551142454,2.1786326169603853e-05
142,-0.0434192631393671,2.197210169470054e-05
143,-0.04616412352770567,2.6254129875269427e-05
144,-0.044207881577312945,2.6058477260448853e-05
